Title,Links
Times Now,https://www.timesnownews.com
TN Navbharat,https://www.timesnowhindi.com
Zoom,https://www.zoomtventertainment.com
ET Now,https://www.etnownews.com
ET Now Swadesh,https://hindi.etnownews.com
Times Drive,https://www.timesdrive.in
Health and Me,https://www.healthandme.com
Digit,https://www.digit.in/
Marathi,https://marathi.timesnownews.com
Telugu,https://telugu.timesnownews.com/
Tamil,https://tamil.timesnownews.com/
Bengali,https://bengali.timesnownews.com
Kannada,https://kannada.timesnownews.com
 ,https://www.timesnownews.com/
India,https://www.timesnownews.com/india
Cities ,https://www.timesnownews.com/city
Mumbai ,https://www.timesnownews.com/mumbai
Delhi ,https://www.timesnownews.com/delhi
Kolkata ,https://www.timesnownews.com/kolkata
Bengaluru ,https://www.timesnownews.com/bengaluru
Hyderabad ,https://www.timesnownews.com/hyderabad
Chennai ,https://www.timesnownews.com/chennai
Pune ,https://www.timesnownews.com/pune
Noida ,https://www.timesnownews.com/city/noida
Gurugram ,https://www.timesnownews.com/city/gurugram
Ghaziabad ,https://www.timesnownews.com/city/ghaziabad
Ahmedabad ,https://www.timesnownews.com/city/ahmedabad
Chandigarh ,https://www.timesnownews.com/city/chandigarh
Kochi ,https://www.timesnownews.com/city/kochi
Crime ,https://www.timesnownews.com/crime
 Shocking: Woman Dies Of Heart Attack In Valsad During Son's 5th Birthday Party- Video,https://www.timesnownews.com/india/shocking-woman-dies-of-heart-attack-in-valsad-during-sons-5th-birthday-party-video-article-113434062
 'Will Remove You From Court': CJI Rebukes Lawyer Seeking Mamata Banerjee's Resignation over RG Kar Case,https://www.timesnownews.com/india/will-remove-you-from-court-cji-chandrachud-rebukes-lawyer-seeking-mamata-banerjees-resignation-over-rg-kar-case-article-113432324
" Army Vehicle Plunges Into Gorge In J&K's Rajouri, Four Soldiers Injured",https://www.timesnownews.com/india/army-vehicle-plunges-into-gorge-in-jks-rajouri-four-soldiers-injured-article-113433534
" IAF’s New Training Syllabus: Prioritising Drones For Safer, Cheaper, And More Precise Operations",https://www.timesnownews.com/india/iafs-new-training-syllabus-prioritising-drones-for-safer-cheaper-and-more-precise-operations-article-113430829
" Big Rail Accident Averted! Delhi-Bound Swatantra Senani Express Hits Wooden Log, Dodges Derailment",https://www.timesnownews.com/india/big-rail-accident-averted-delhi-bound-swatantra-senani-express-hits-wooden-log-dodges-derailment-article-113425721
"Nipah Virus Kills Student In Kerala's Malappuram, Tamil Nadu To Enhance Surveillance At Border",https://www.timesnownews.com/india/nipah-virus-kills-student-in-keralas-malappuram-tamil-nadu-to-enhance-surveillance-at-border-article-113425419
Exclusive: What Next For Arvind Kejriwal After His Resignation As Delhi CM?,https://www.timesnownews.com/india/exclusive-what-next-for-arvind-kejriwal-after-his-resignation-as-delhi-cm-article-113426076
Who Is Vineet Goyal And Why Junior Doctors Demanded His Removal From Kolkata CP Post,https://www.timesnownews.com/india/who-is-vineet-goyal-and-why-junior-doctors-demanded-removal-of-kolkata-cp-article-113424561
"Nagpur Horror: 9-Year-Old Raped In Front of Sister, Attacker Still Missing",https://www.timesnownews.com/india/nagpur-horror-9-year-old-assaulted-in-front-of-sister-attacker-still-missing-article-113425036
Scam Busted! News About Amitabh Bachchan's Death With Times Now Logo Is FAKE,https://www.timesnownews.com/india/scam-busted-news-about-amitabh-bachchans-death-with-times-now-logo-is-fake-article-113422998
"'Happy Bday Modiji': Amit Shah, President Murmu, Rajinikanth, Others Extend Wishes As PM Turns 74",https://www.timesnownews.com/india/happy-bday-modiji-amit-shah-president-murmu-rajinikanth-others-extend-wishes-as-pm-turns-74-article-113420022
'It's An Open Court': Why CJI Denied Kapil Sibal's 'No Live Streaming' Request For Kolkata Case Hearing,https://www.timesnownews.com/india/kapil-sibal-requests-no-live-streaming-of-kolkata-case-hearing-cji-says-its-an-open-court-article-113423054
NDA Govt Approved Infra Projects Worth Rs 3 Lakh Crore In First 100 Days In Office: Amit Shah,https://www.timesnownews.com/india/nda-govt-approved-infra-projects-worth-rs-3-lakh-crore-in-first-100-days-in-office-amit-shah-article-113423291
Supreme Court's BIG Verdict On Bulldozer Action: No Demolition Till October 1,https://www.timesnownews.com/india/breaking-news-scs-big-verdict-on-bulldozer-action-no-demolition-till-october-1-article-113422318
